Fetched 10647 Record(s) from HAMS Devices

insert into att_raw_data values('null', '2025-08-25', '130', '130', '', '09:11:00', '0', 'A8N5232360123', '', 'ZKT-A8N5232360123');
insert into att_raw_data values('null', '2025-08-25', '341', '341', '', '09:11:03', '0', 'A8N5232360705', '', 'ZKT-A8N5232360705');
insert into att_raw_data values('null', '2025-08-25', '1578', '1578', '', '09:11:07', '0', 'A8N5232360381', '', 'ZKT-A8N5232360381');
insert into att_raw_data values('null', '2025-08-25', '1371', '1371', '', '09:11:18', '0', 'A8N5232360409', '', 'ZKT-A8N5232360409');
insert into att_raw_data values('null', '2025-08-25', '918', '918', '', '09:11:27', '0', 'A8N5232360027', '', 'ZKT-A8N5232360027');
insert into att_raw_data values('null', '2025-08-25', '1606', '1606', '', '09:11:28', '0', 'A8N5232360705', '', 'ZKT-A8N5232360705');
insert into att_raw_data values('null', '2025-08-25', '1453', '1453', '', '09:11:34', '0', 'A8N5232360031', '', 'ZKT-A8N5232360031');
insert into att_raw_data values('null', '2025-08-25', '556', '556', '', '09:11:37', '0', 'A8N5232360418', '', 'ZKT-A8N5232360418');
insert into att_raw_data values('null', '2025-08-25', '1532', '1532', '', '09:11:38', '0', 'A8N5232360031', '', 'ZKT-A8N5232360031');
insert into att_raw_data values('null', '2025-08-25', '1532', '1532', '', '09:11:40', '0', 'A8N5232360031', '', 'ZKT-A8N5232360031');
insert into att_raw_data values('null', '2025-08-25', '842', '842', '', '09:11:56', '0', 'A8N5232360123', '', 'ZKT-A8N5232360123');
insert into att_raw_data values('null', '2025-08-25', '288', '288', '', '09:12:04', '0', 'A8N5231260519', '', 'ZKT-A8N5231260519');
insert into att_raw_data values('null', '2025-08-25', '89', '89', '', '09:12:07', '0', 'A8N5231260510', '', 'ZKT-A8N5231260510');
insert into att_raw_data values('null', '2025-08-25', '1563', '1563', '', '09:12:10', '0', 'A8N5232360703', '', 'ZKT-A8N5232360703');
insert into att_raw_data values('null', '2025-08-25', '1', '1', '', '09:12:14', '0', 'A8N5232360581', '', 'ZKT-A8N5232360581');
insert into att_raw_data values('null', '2025-08-25', '1171', '1171', '', '09:12:16', '0', 'A8N5232360566', '', 'ZKT-A8N5232360566');
insert into att_raw_data values('null', '2025-08-25', '1456', '1456', '', '09:12:19', '0', 'A8N5232360027', '', 'ZKT-A8N5232360027');
insert into att_raw_data values('null', '2025-08-25', '320', '320', '', '09:12:30', '0', 'A8N5231260147', '', 'ZKT-A8N5231260147');
insert into att_raw_data values('null', '2025-08-25', '424', '424', '', '09:12:30', '0', 'A8N5232360615', '', 'ZKT-A8N5232360615');
insert into att_raw_data values('null', '2025-08-25', '424', '424', '', '09:12:32', '0', 'A8N5232360615', '', 'ZKT-A8N5232360615');
insert into att_raw_data values('null', '2025-08-25', '1582', '1582', '', '09:12:40', '0', 'A8N5232360594', '', 'ZKT-A8N5232360594');
insert into att_raw_data values('null', '2025-08-25', '713', '713', '', '09:12:42', '0', 'A8N5232360745', '', 'ZKT-A8N5232360745');
insert into att_raw_data values('null', '2025-08-25', '1381', '1381', '', '09:13:00', '0', 'A8N5232360594', '', 'ZKT-A8N5232360594');
insert into att_raw_data values('null', '2025-08-25', '583', '583', '', '09:13:13', '0', 'A8N5232360850', '', 'ZKT-A8N5232360850');
insert into att_raw_data values('null', '2025-08-25', '248', '248', '', '09:13:24', '0', 'A8N5231260150', '', 'ZKT-A8N5231260150');
insert into att_raw_data values('null', '2025-08-25', '9026', '9026', '', '09:13:26', '0', 'A8N5231260510', '', 'ZKT-A8N5231260510');
insert into att_raw_data values('null', '2025-08-25', '426', '426', '', '09:13:44', '0', 'A8N5232360764', '', 'ZKT-A8N5232360764');
insert into att_raw_data values('null', '2025-08-25', '1465', '1465', '', '09:13:44', '0', 'A8N5232360624', '', 'ZKT-A8N5232360624');
insert into att_raw_data values('null', '2025-08-25', '1465', '1465', '', '09:13:45', '0', 'A8N5232360624', '', 'ZKT-A8N5232360624');
insert into att_raw_data values('null', '2025-08-25', '695', '695', '', '09:13:47', '0', 'A8N5232360615', '', 'ZKT-A8N5232360615');
insert into att_raw_data values('null', '2025-08-25', '7053', '7053', '', '09:13:50', '0', 'A8N5232360764', '', 'ZKT-A8N5232360764');
insert into att_raw_data values('null', '2025-08-25', '1534', '1534', '', '09:14:08', '0', 'A8N5232360123', '', 'ZKT-A8N5232360123');
insert into att_raw_data values('null', '2025-08-25', '1627', '1627', '', '09:14:12', '0', 'A8N5232360680', '', 'ZKT-A8N5232360680');
insert into att_raw_data values('null', '2025-08-25', '373', '373', '', '09:14:17', '0', 'A8N5232360595', '', 'ZKT-A8N5232360595');
insert into att_raw_data values('null', '2025-08-25', '1003', '1003', '', '09:14:29', '0', 'A8N5232360602', '', 'ZKT-A8N5232360602');
insert into att_raw_data values('null', '2025-08-25', '650', '650', '', '09:14:31', '0', 'A8N5232360595', '', 'ZKT-A8N5232360595');
insert into att_raw_data values('null', '2025-08-25', '505', '505', '', '09:14:40', '0', 'A8N5232360698', '', 'ZKT-A8N5232360698');
insert into att_raw_data values('null', '2025-08-25', '774', '774', '', '09:14:44', '0', 'A8N5232360381', '', 'ZKT-A8N5232360381');
insert into att_raw_data values('null', '2025-08-25', '337', '337', '', '09:14:48', '0', 'A8N5232360566', '', 'ZKT-A8N5232360566');
insert into att_raw_data values('null', '2025-08-25', '1653', '1653', '', '09:14:49', '0', 'A8N5232360667', '', 'ZKT-A8N5232360667');
insert into att_raw_data values('null', '2025-08-25', '569', '569', '', '09:14:49', '0', 'A8N5232360666', '', 'ZKT-A8N5232360666');
insert into att_raw_data values('null', '2025-08-25', '228', '228', '', '09:14:53', '0', 'A8N5232360595', '', 'ZKT-A8N5232360595');
insert into att_raw_data values('null', '2025-08-25', '249', '249', '', '09:15:00', '0', 'A8N5232360005', '', 'ZKT-A8N5232360005');
insert into att_raw_data values('null', '2025-08-25', '334', '334', '', '09:15:04', '0', 'A8N5232360015', '', 'ZKT-A8N5232360015');
insert into att_raw_data values('null', '2025-08-25', '249', '249', '', '09:15:15', '0', 'A8N5232360005', '', 'ZKT-A8N5232360005');
insert into att_raw_data values('null', '2025-08-25', '498', '498', '', '09:15:30', '0', 'A8N5232360705', '', 'ZKT-A8N5232360705');
insert into att_raw_data values('null', '2025-08-25', '253', '253', '', '09:15:31', '0', 'A8N5232360742', '', 'ZKT-A8N5232360742');
insert into att_raw_data values('null', '2025-08-25', '658', '658', '', '09:15:42', '0', 'A8N5232360409', '', 'ZKT-A8N5232360409');
insert into att_raw_data values('null', '2025-08-25', '1503', '1503', '', '09:15:48', '0', 'A8N5232360106', '', 'ZKT-A8N5232360106');
insert into att_raw_data values('null', '2025-08-25', '646', '646', '', '09:15:48', '0', 'A8N5231260510', '', 'ZKT-A8N5231260510');
insert into att_raw_data values('null', '2025-08-25', '99', '99', '', '09:15:49', '0', 'A8N5232360376', '', 'ZKT-A8N5232360376');
insert into att_raw_data values('null', '2025-08-25', '1084', '1084', '', '09:16:22', '0', 'A8N5232360750', '', 'ZKT-A8N5232360750');
insert into att_raw_data values('null', '2025-08-25', '23', '23', '', '09:16:24', '0', 'A8N5231260510', '', 'ZKT-A8N5231260510');
insert into att_raw_data values('null', '2025-08-25', '1443', '1443', '', '09:16:29', '0', 'A8N5232360901', '', 'ZKT-A8N5232360901');
insert into att_raw_data values('null', '2025-08-25', '181', '181', '', '09:16:32', '0', 'A8N5232360901', '', 'ZKT-A8N5232360901');
insert into att_raw_data values('null', '2025-08-25', '1479', '1479', '', '09:16:32', '0', 'A8N5232360470', '', 'ZKT-A8N5232360470');
insert into att_raw_data values('null', '2025-08-25', '1632', '1632', '', '09:16:55', '0', 'A8N5232360666', '', 'ZKT-A8N5232360666');
insert into att_raw_data values('null', '2025-08-25', '132', '132', '', '09:17:00', '0', 'A8N5232360850', '', 'ZKT-A8N5232360850');
insert into att_raw_data values('null', '2025-08-25', '1607', '1607', '', '09:17:05', '0', 'A8N5232360610', '', 'ZKT-A8N5232360610');
insert into att_raw_data values('null', '2025-08-25', '7006', '7006', '', '09:17:35', '0', 'A8N5231260510', '', 'ZKT-A8N5231260510');
insert into att_raw_data values('null', '2025-08-25', '1083', '1083', '', '09:17:44', '0', 'A8N5232360470', '', 'ZKT-A8N5232360470');
insert into att_raw_data values('null', '2025-08-25', '136', '136', '', '09:17:58', '0', 'A8N5232360418', '', 'ZKT-A8N5232360418');
insert into att_raw_data values('null', '2025-08-25', '823', '823', '', '09:18:10', '0', 'A8N5232360899', '', 'ZKT-A8N5232360899');
insert into att_raw_data values('null', '2025-08-25', '36', '36', '', '09:18:14', '0', 'A8N5232360742', '', 'ZKT-A8N5232360742');
insert into att_raw_data values('null', '2025-08-25', '1659', '1659', '', '09:18:21', '0', 'A8N5232360899', '', 'ZKT-A8N5232360899');
insert into att_raw_data values('null', '2025-08-25', '762', '762', '', '09:18:33', '0', 'A8N5232360698', '', 'ZKT-A8N5232360698');
